Time_min,Gaussian_component,erfc_component,Blended_model,Blend_weight
20.698464,0.180030,1.105625,0.898514,0.223759
20.753487,0.180030,1.098265,0.895294,0.221045
20.808509,0.180030,1.090966,0.892060,0.218354
20.863532,0.180030,1.083728,0.888812,0.215687
20.918554,0.180030,1.076550,0.885552,0.213044
20.973577,0.180030,1.069431,0.882280,0.210424
21.028599,0.180030,1.062371,0.878996,0.207828
21.083622,0.180030,1.055369,0.875701,0.205256
21.138644,0.180030,1.048426,0.872396,0.202707
21.193667,0.180030,1.041539,0.869081,0.200182
21.248689,0.180030,1.034710,0.865756,0.197681
21.303712,0.180030,1.027936,0.862423,0.195203
21.358734,0.180030,1.021219,0.859081,0.192749
21.413757,0.180030,1.014557,0.855731,0.190319
21.468779,0.180030,1.007950,0.852374,0.187912
21.523802,0.180030,1.001397,0.849011,0.185528
21.578824,0.180030,0.994899,0.845641,0.183168
21.633847,0.180030,0.988453,0.842265,0.180831
21.688869,0.180030,0.982061,0.838884,0.178518
21.743892,0.180030,0.975721,0.835499,0.176228
21.798914,0.180030,0.969434,0.832109,0.173961
21.853937,0.180030,0.963198,0.828715,0.171717
21.908959,0.180030,0.957013,0.825318,0.169496
21.963982,0.180030,0.950879,0.821918,0.167298
22.019005,0.180030,0.944795,0.818515,0.165122
22.074027,0.180030,0.938761,0.815111,0.162970
22.129050,0.180030,0.932777,0.811705,0.160840
22.184072,0.180030,0.926841,0.808298,0.158733
22.239095,0.180030,0.920954,0.804890,0.156648
22.294117,0.180030,0.915115,0.801482,0.154586
22.349140,0.180030,0.909324,0.798074,0.152546
22.404162,0.180030,0.903581,0.794666,0.150527
22.459185,0.180030,0.897884,0.791260,0.148531
22.514207,0.180030,0.892234,0.787855,0.146557
22.569230,0.180030,0.886630,0.784452,0.144605
22.624252,0.180030,0.881071,0.781051,0.142674
22.679275,0.180030,0.875558,0.777652,0.140765
22.734297,0.180030,0.870090,0.774257,0.138877
22.789320,0.180030,0.864667,0.770864,0.137011
22.844342,0.180030,0.859287,0.767475,0.135165
22.899365,0.180030,0.853952,0.764090,0.133341
22.954387,0.180030,0.848660,0.760710,0.131538
23.009410,0.180030,0.843411,0.757334,0.129755
23.064432,0.180030,0.838204,0.753963,0.127993
23.119455,0.180030,0.833040,0.750597,0.126251
23.174477,0.180030,0.827918,0.747237,0.124530
23.229500,0.180030,0.822838,0.743882,0.122829
23.284522,0.180030,0.817799,0.740534,0.121148
23.339545,0.180030,0.812800,0.737193,0.119486
23.394567,0.180030,0.807842,0.733858,0.117845
23.449590,0.180030,0.802925,0.730530,0.116223
23.504612,0.180030,0.798047,0.727210,0.114620
23.559635,0.180030,0.793209,0.723897,0.113037
23.614657,0.180030,0.788410,0.720592,0.111473
23.669680,0.180030,0.783650,0.717295,0.109928
23.724702,0.180030,0.778928,0.714007,0.108401
23.779725,0.180030,0.774245,0.710727,0.106894
23.834747,0.180030,0.769599,0.707456,0.105404
23.889770,0.180030,0.764991,0.704194,0.103934
23.944792,0.180030,0.760420,0.700941,0.102481
23.999815,0.180030,0.755886,0.697698,0.101046
24.054837,0.180030,0.751389,0.694465,0.099629
24.109860,0.180030,0.746928,0.691242,0.098230
24.164882,0.180030,0.742503,0.688028,0.096848
24.219905,0.180030,0.738114,0.684825,0.095484
24.274927,0.180030,0.733760,0.681633,0.094137
24.329950,0.180030,0.729441,0.678452,0.092807
24.384972,0.180030,0.725157,0.675281,0.091494
24.439995,0.180030,0.720907,0.672121,0.090198
24.495018,0.180030,0.716692,0.668973,0.088918
24.550040,0.180030,0.712510,0.665836,0.087654
24.605063,0.180030,0.708362,0.662711,0.086407
24.660085,0.180030,0.704248,0.659597,0.085176
24.715108,0.180030,0.700167,0.656495,0.083961
24.770130,0.180030,0.696118,0.653406,0.082762
24.825153,0.180030,0.692102,0.650328,0.081578
24.880175,0.180030,0.688118,0.647263,0.080410
24.935198,0.180030,0.684166,0.644210,0.079257
24.990220,0.180030,0.680246,0.641170,0.078119
25.045243,0.180030,0.676357,0.638142,0.076996
25.100265,0.180030,0.672500,0.635127,0.075888
25.155288,0.180030,0.668673,0.632125,0.074794
25.210310,0.180030,0.664877,0.629136,0.073715
25.265333,0.180030,0.661111,0.626160,0.072651
25.320355,0.180030,0.657376,0.623198,0.071600
25.375378,0.180030,0.653670,0.620248,0.070564
25.430400,0.180030,0.649995,0.617313,0.069542
25.485423,0.180030,0.646348,0.614390,0.068533
25.540445,0.180030,0.642731,0.611481,0.067538
25.595468,0.180030,0.639142,0.608586,0.066556
25.650490,0.180030,0.635582,0.605704,0.065587
25.705513,0.180030,0.632051,0.602836,0.064632
25.760535,0.180030,0.628548,0.599982,0.063689
25.815558,0.180030,0.625073,0.597142,0.062760
25.870580,0.180030,0.621625,0.594316,0.061843
25.925603,0.180030,0.618205,0.591504,0.060938
25.980625,0.180030,0.614813,0.588706,0.060046
26.035648,0.180030,0.611447,0.585922,0.059167
26.090670,0.180030,0.608108,0.583152,0.058299
26.145693,0.180030,0.604796,0.580396,0.057443
26.200715,0.180030,0.601510,0.577655,0.056599
26.255738,0.180030,0.598250,0.574928,0.055767
26.310760,0.180030,0.595017,0.572215,0.054946
26.365783,0.180030,0.591808,0.569516,0.054137
26.420805,0.180030,0.588626,0.566832,0.053339
26.475828,0.180030,0.585469,0.564162,0.052552
26.530850,0.180030,0.582337,0.561507,0.051776
26.585873,0.180030,0.579229,0.558866,0.051010
26.640895,0.180030,0.576147,0.556240,0.050256
26.695918,0.180030,0.573089,0.553628,0.049512
26.750940,0.180030,0.570055,0.551030,0.048778
26.805963,0.180030,0.567045,0.548447,0.048055
26.860985,0.180030,0.564059,0.545878,0.047342
26.916008,0.180030,0.561097,0.543324,0.046639
26.971031,0.180030,0.558158,0.540784,0.045946
27.026053,0.180030,0.555243,0.538259,0.045263
27.081076,0.180030,0.552350,0.535749,0.044590
27.136098,0.180030,0.549481,0.533252,0.043926
27.191121,0.180030,0.546634,0.530771,0.043271
27.246143,0.180030,0.543810,0.528303,0.042626
27.301166,0.180030,0.541008,0.525851,0.041990
27.356188,0.180030,0.538229,0.523412,0.041363
27.411211,0.180030,0.535471,0.520988,0.040746
27.466233,0.180030,0.532735,0.518579,0.040136
27.521256,0.180030,0.530021,0.516183,0.039536
27.576278,0.180030,0.527328,0.513803,0.038944
27.631301,0.180030,0.524656,0.511436,0.038361
27.686323,0.180030,0.522006,0.509084,0.037786
27.741346,0.180030,0.519376,0.506746,0.037220
27.796368,0.180030,0.516768,0.504422,0.036661
27.851391,0.180030,0.514179,0.502113,0.036111
27.906413,0.180030,0.511612,0.499818,0.035569
27.961436,0.180030,0.509064,0.497537,0.035034
28.016458,0.180030,0.506537,0.495270,0.034507
28.071481,0.180030,0.504029,0.493017,0.033988
28.126503,0.180030,0.501541,0.490778,0.033477
28.181526,0.180030,0.499073,0.488554,0.032972
28.236548,0.180030,0.496624,0.486343,0.032476
28.291571,0.180030,0.494195,0.484146,0.031986
28.346593,0.180030,0.491785,0.481963,0.031504
28.401616,0.180030,0.489393,0.479794,0.031028
28.456638,0.180030,0.487021,0.477639,0.030560
28.511661,0.180030,0.484667,0.475498,0.030098
28.566683,0.180030,0.482331,0.473370,0.029643
28.621706,0.180030,0.480014,0.471256,0.029195
28.676728,0.180030,0.477715,0.469156,0.028754
28.731751,0.180030,0.475435,0.467069,0.028318
28.786773,0.180030,0.473172,0.464996,0.027890
28.841796,0.180030,0.470927,0.462936,0.027467
28.896818,0.180030,0.468699,0.460890,0.027051
28.951841,0.180030,0.466489,0.458857,0.026641
29.006863,0.180030,0.464296,0.456838,0.026237
29.061886,0.180030,0.462121,0.454832,0.025839
29.116908,0.180030,0.459962,0.452839,0.025447
29.171931,0.180030,0.457821,0.450859,0.025060
29.226953,0.180030,0.455696,0.448893,0.024680
29.281976,0.180030,0.453588,0.446939,0.024305
29.336998,0.180030,0.451496,0.444999,0.023935
29.392021,0.180030,0.449421,0.443071,0.023571
29.447044,0.180030,0.447362,0.441157,0.023213
29.502066,0.180030,0.445319,0.439255,0.022860
29.557089,0.180030,0.443292,0.437366,0.022512
29.612111,0.180030,0.441281,0.435490,0.022169
29.667134,0.180030,0.439286,0.433626,0.021831
29.722156,0.180030,0.437306,0.431775,0.021498
29.777179,0.180030,0.435342,0.429937,0.021171
29.832201,0.180030,0.433393,0.428111,0.020848
29.887224,0.180030,0.431460,0.426298,0.020530
29.942246,0.180030,0.429541,0.424497,0.020217
29.997269,0.180030,0.427638,0.422708,0.019908
30.052291,0.180030,0.425749,0.420932,0.019604
30.107314,0.180030,0.423875,0.419168,0.019305
30.162336,0.180030,0.422016,0.417415,0.019010
30.217359,0.180030,0.420171,0.415675,0.018719
30.272381,0.180030,0.418340,0.413947,0.018433
30.327404,0.180030,0.416524,0.412231,0.018151
30.382426,0.180030,0.414722,0.410527,0.017874
30.437449,0.180030,0.412934,0.408835,0.017600
30.492471,0.180030,0.411160,0.407154,0.017331
30.547494,0.180030,0.409400,0.405485,0.017065
